code,naam, oprichtingsdatum, plaats
breda1837,Door Eendragt t'zaam verbonden,1837-01-17,Breda
denhaag1843,Door Eendragt t'zaam verbonden,1843-01-28,Den Haag
middelburg1847,Harmonie en Vriendschap,1847,Middelburg
amsterdam1849,Voorzorg en Genoegen,1849,Amsterdam
rotterdam1849,Door Koster's fakkel voorgelicht is deze vriendenkring gesticht,1849-09-02,Rotterdam
arnhem1849,"Boekdrukkunst, de grondzuil der verlichting",1849-09-16,Arnhem
denbosch1849,Door Eendragt t'zaam verbonden,1849-10-07,'s-Hertogenbosch
utrecht1851,Nut en Genoegen,1851,Utrecht
haarlem1851,Tot Nut en Gezellig Verkeer,1851-09-21,Haarlem
tiel1852,"Heilig is de Broederband, die ons leidt aan Kosters hand",1852-04-14,Tiel
goes1854,Ter eere van Koster,1854-01-10,Goes
leiden1854,Laurens Jansz. Koster,1854-12-04,Leiden
gorinchem1856,Nut en Voorzorg,1856-08-24,Gorinchem
rotterdam1857,Hoe schoon is het broeders vereenigd te zien,1857-01-01,Rotterdam
amsterdam1857-1,De Nederlandsche Drukpers,1857-02-23,Amsterdam
sneek1860,Lourens Coster,1860-09-01,Sneek
nijmegen1862,Broederhulp,1862,Nijmegen
